Date,TASMAX,TAS,TASMIN,Humidity,Precipitation,GWL
1988-02-15,5.4000000804662704,0.3714285769632884,-5.700000084936619,79.57142975713525,11.500000074505806,385.53
1988-02-22,4.90000007301569,-0.0142857144985879,-7.900000117719173,83.71428696172578,19.199999906122684,385.57
1988-02-29,2.3000000342726707,-1.5714285948446816,-4.200000062584877,90.1285727715918,25.20000004768372,385.37
1988-03-07,2.600000038743019,-1.757142883326326,-8.300000123679638,85.4857155595507,19.69999945908785,385.26
1988-03-14,2.7000000402331352,-0.8714285844138691,-10.000000149011612,87.10000129789114,52.69999969005585,385.31
1988-03-21,11.30000016838312,3.5571429101484164,-5.700000084936619,82.64285837433168,19.200000390410423,390.55
1988-03-28,7.500000111758709,3.685714340635709,0.2000000029802322,88.97142989720616,61.79999989271164,399.56
1988-04-04,12.500000186264517,4.800000071525574,-1.700000025331974,78.3285725957581,6.3999998569488525,397.39
1988-04-11,17.80000026524067,7.371428681271417,-2.200000032782554,77.0285725763866,10.199999809265137,395.75
1988-04-18,19.30000028759241,8.828571560127395,-2.500000037252903,62.24285807034799,2.3000000044703484,394.82
1988-04-25,21.000000312924385,8.914285847118922,-2.3000000342726707,61.1571437684553,4.599999904632568,394.07
1988-05-02,20.80000030994416,11.30000016838312,1.100000016391277,65.75714383700064,8.199999809265137,393.35
1988-05-09,23.100000344216824,13.800000205636024,4.500000067055225,66.68571527940887,3.899999976158142,392.73
1988-05-16,23.300000347197056,15.828571664435524,6.400000095367432,54.02857223365988,2.0,392.51
1988-05-23,19.30000028759241,11.342857311878886,2.3000000342726707,75.20000112056732,7.699999928474426,391.94
1988-05-30,25.100000374019142,16.014285952917167,5.000000074505806,67.67142957981143,16.00000023841858,391.66
1988-06-06,22.000000327825543,12.0428573223097,8.300000123679638,84.157144111182,51.50000035762787,391.25
1988-06-13,22.30000033229589,14.62857164655413,8.50000012665987,76.21428684996707,3.500000014901161,390.9
1988-06-20,24.100000359117985,16.242857384894574,7.300000108778477,60.91428662197931,0.0,390.47
1988-06-27,22.600000336766243,14.314285927585193,7.700000114738941,76.50000113993883,9.20000011473894,390.08
1988-07-04,26.30000039190054,16.85714310833386,9.400000140070915,75.27142969306026,16.0000002682209,389.65
1988-07-11,31.20000046491623,17.757143121744907,10.600000157952309,70.01428675757987,27.69999986886978,390.08
1988-07-18,24.50000036507845,14.671428790049893,9.900000147521496,77.87142973180327,20.8000003695488,388.86
1988-07-25,31.500000469386578,19.88571458203452,9.500000141561031,67.87142958279166,5.299999907612801,388.61
