aquifer_type,chinese_type,well_id,Date,TASMAX,TAS,TASMIN,Humidity,Precipitation,GWL
f,裂隙水,HE_6253,1969-01-13,1.80000002682209,-2.257142890776907,-7.900000117719173,85.65714413353375,0.2000000029802322,302.85
f,裂隙水,HE_6253,1969-01-20,3.9000000581145287,1.4571428788559777,-2.200000032782554,85.58571556104081,2.700000047683716,302.85
f,裂隙水,HE_6253,1969-01-27,6.400000095367432,2.385714321264199,-1.80000002682209,89.44285847565958,14.099999845027924,303.04
f,裂隙水,HE_6253,1969-02-03,6.400000095367432,2.4428571792585507,-2.3000000342726707,83.68571553272861,14.70000021904707,303.37
f,裂隙水,HE_6253,1969-02-10,0.800000011920929,-3.8000000566244125,-10.000000149011612,81.10000120848417,6.9999998807907104,303.52
f,裂隙水,HE_6253,1969-02-17,-1.80000002682209,-6.542857240353312,-12.500000186264517,81.62857264493194,25.39999920129776,303.64
f,裂隙水,HE_6253,1969-02-24,9.00000013411045,-0.5285714364477566,-10.400000154972076,85.07142983909164,4.400000110268593,303.69
f,裂隙水,HE_6253,1969-03-03,3.000000044703484,-0.21428571747882025,-5.200000077486038,87.1428584413869,1.6000000014901161,303.61
f,裂隙水,HE_6253,1969-03-10,6.200000092387199,-0.7142857249294009,-8.300000123679638,70.2285724750587,0.6000000238418579,303.68
f,裂隙水,HE_6253,1969-03-17,6.900000102818012,0.22857143197740828,-4.500000067055225,89.70000133663416,42.70000010728836,303.65
f,裂隙水,HE_6253,1969-03-24,1.600000023841858,-0.7857142974223409,-5.4000000804662704,83.71428696172578,7.199999913573265,304.69
f,裂隙水,HE_6253,1969-03-31,7.800000116229057,1.3714285918644495,-3.200000047683716,81.84285836241075,12.500000052154064,305.06
f,裂隙水,HE_6253,1969-04-07,19.000000283122063,5.585714368947914,-3.9000000581145287,68.28571530325073,2.5,305.23
f,裂隙水,HE_6253,1969-04-14,22.000000327825543,8.35714298167399,-1.80000002682209,68.44285816273519,19.700000405311584,305.43
f,裂隙水,HE_6253,1969-04-21,10.80000016093254,2.6857143257345473,-4.500000067055225,79.10000117868185,24.30000028759241,305.64
f,裂隙水,HE_6253,1969-04-28,20.30000030249357,9.80000014603138,3.9000000581145287,82.92857266430345,23.600000262260437,305.82
f,裂隙水,HE_6253,1969-05-05,21.60000032186508,11.857143033828054,5.500000081956387,79.70000118762255,4.600000083446503,305.9
f,裂隙水,HE_6253,1969-05-12,24.600000366568565,12.557143044258867,6.200000092387199,81.5428583579404,28.700000405311584,305.99
f,裂隙水,HE_6253,1969-05-19,29.200000435113907,14.11428592460496,3.400000050663948,69.3714296051434,11.099999584257603,305.84
f,裂隙水,HE_6253,1969-05-26,22.100000329315662,11.414285884371825,1.80000002682209,69.54285817912647,20.300000347197056,305.73
f,裂隙水,HE_6253,1969-06-02,22.30000033229589,12.742857332740511,4.500000067055225,77.60000115633011,19.899999499320984,305.51
f,裂隙水,HE_6253,1969-06-09,21.50000032037497,10.728571588439602,3.200000047683716,78.0857154492821,25.800000309944153,305.38
f,裂隙水,HE_6253,1969-06-16,26.30000039190054,17.885714552232198,6.500000096857548,67.90000101178885,8.900000013411045,305.19
f,裂隙水,HE_6253,1969-06-23,26.80000039935112,16.5714288183621,8.400000125169754,74.40000110864639,23.499999523162845,305.0
f,裂隙水,HE_6253,1969-06-30,21.60000032186508,14.442857358072485,7.500000111758709,74.50000111013651,12.000000454485416,304.79
f,裂隙水,HE_6253,1969-07-07,25.300000376999375,17.78571455074208,9.100000135600569,72.57142965282712,0.8999999761581421,304.39
f,裂隙水,HE_6253,1969-07-14,18.80000028014183,12.785714476236276,7.000000104308128,80.44285834154913,19.39999943226576,304.25
f,裂隙水,HE_6253,1969-07-21,28.80000042915344,18.757143136646068,8.800000131130219,68.60000102221966,23.600000381469727,304.11
f,裂隙水,HE_6253,1969-07-28,31.500000469386578,22.814286054245063,14.100000210106373,71.72857249741044,2.0000000298023224,303.87
f,裂隙水,HE_6253,1969-08-04,33.30000049620867,21.385714604386262,14.300000213086603,71.85714392789772,9.900000035762787,303.62
f,裂隙水,HE_6253,1969-08-11,28.80000042915344,18.92857171062912,9.3000001385808,63.51428666072233,3.200000047683716,303.51
f,裂隙水,HE_6253,1969-08-18,24.8000003695488,17.07142882581268,8.300000123679638,79.65714404412678,39.60000038146973,303.43
f,裂隙水,HE_6253,1969-08-25,23.100000344216824,13.171428767698151,5.200000077486038,81.35714406945876,21.39999971538782,303.27
f,裂隙水,HE_6253,1969-09-01,19.80000029504299,12.271428754287106,7.800000116229057,85.21428698407752,14.799999952316284,303.18
f,裂隙水,HE_6253,1969-09-08,20.800000309944156,12.800000190734863,4.90000007301569,80.42857262705054,0.0,303.12
f,裂隙水,HE_6253,1969-09-15,26.80000039935112,16.20000024139881,8.50000012665987,79.48571547014373,0.5,303.03
f,裂隙水,HE_6253,1969-09-22,17.30000025779009,11.685714459844998,1.5000000223517418,83.55714410224131,22.59999990463257,302.83
f,裂隙水,HE_6253,1969-09-29,20.000000298023224,10.271428724484784,1.3000000193715096,84.2714298271707,2.0999999046325684,302.78
f,裂隙水,HE_6253,1969-10-06,20.10000029951334,9.700000144541264,2.600000038743019,81.85714407690934,4.100000023841858,302.7
f,裂隙水,HE_6253,1969-10-13,20.500000305473804,10.44285729846784,3.000000044703484,83.05714409479073,0.0,302.61
f,裂隙水,HE_6253,1969-10-20,18.80000028014183,9.828571575028556,2.600000038743019,85.45714413055352,0.4000000059604644,302.53
f,裂隙水,HE_6253,1969-10-27,21.60000032186508,10.257143009986196,4.200000062584877,85.64285841903516,11.400000408291818,302.45
f,裂隙水,HE_6253,1969-11-03,14.100000210106373,8.800000131130219,3.700000055134296,83.12857266728368,7.899999976158142,302.42
f,裂隙水,HE_6253,1969-11-10,12.90000019222498,4.942857216511454,-4.500000067055225,82.72857266132321,21.799999862909317,302.38
f,裂隙水,HE_6253,1969-11-17,13.100000195205212,7.042857247803893,-1.5000000223517418,82.9857155222978,10.900000005960464,302.35
f,裂隙水,HE_6253,1969-11-24,10.000000149011612,4.757142928029809,-1.100000016391277,88.85714418121746,24.400000408291817,302.33
f,裂隙水,HE_6253,1969-12-01,2.200000032782554,-1.757142883326326,-9.500000141561031,86.24285842797586,6.999999977648258,302.29
f,裂隙水,HE_6253,1969-12-08,0.6000000089406967,-5.442857223962035,-15.500000230968,88.52857274774995,14.900000326335432,302.24
